A R S Sport Strip - Belle Plaine, MN
Hawk Inlet Sea Plane Base - Hawk Inlet, AK
Hawkins - Delta, CO
Hawkins Co - Rogersville, TN
Hawkins Field - Jackson, MS
Hawkinsville-Pulaski Co - Hawkinsville, GA
Hawley Municipal - Hawley, MN
Hawthorne - Kountze/Silsbee, TX
Hawthorne Airport - Hawthorne, NV
Hawthorne Municipal Airport - Hawthorne, CA
Hawthorne-Feather - Hillsboro, NH
Haxtun Municipal - Haxtun, CO
Hay Springs Municipal - Hay Springs, NE
Haycock Airport - Haycock, AK
Hayesport - Collinsville, TX
Hayfork - Hayfork, CA
Haynesville - Haynesville, LA
Hays Municipal Airport - Hays, KS
Hayward Executive Airport - Hayward, CA
Hayward Municipal Airport - Hayward, WI
Hazel Green - Hazel Green, AL
Hazelton Municipal - Hazelton, ID
Hazelton Municipal - Hazelton, ND
Hazen Municipal - Hazen, AR
Hazlehurst - Hazlehurst, GA
Hazleton Airport - Hazleton, PA
Headland Municipal - Headland, AL
Healdsburg Municipal - Healdsburg, CA
Healdton Municipal - Healdton, OK
Healy Lake Airport - Healy Lake, AK
Healy River - Healy, AK
Hearne Municipal - Hearne, TX
Heart Airport - Kansas City, MO
Heart Of Georgia Regional - Eastman, GA
Hebbelman - Chinook, MT
Heber City Mun-Mcdonald - Heber, UT
Heber Springs Municipal - Heber Springs, AR
Hebron Municipal - Hebron, ND
Hebron Municipal - Hebron, NE
Hector International Airport - Fargo, ND
Hector Municipal - Hector, MN
Helena Airport - Helena, MT
Helgeson - Two Harbors, MN
Helms Sevier Co - De Queen, AR
Hemingway Stuckey - Hemingway, SC
Hemphill Co - Canadian, TX
Henderson - Wallace, NC
Henderson Aviation - Felton, DE
Henderson City-Co - Henderson, KY
Henderson Executive Airport - Las Vegas, NV
Henderson Oxford Airport - Oxford, NC
Hendersonville - Hendersonville, NC
Hendricks - Gouverneur, NY
Henning Municipal - Henning, MN
Henry Co - Napoleon, OH
Henry County Airport - Paris, TN
Henry County Airport - Tara Field - Hampton, GA
Henry Tift Myers Airport - Tifton, GA
Henry'S Lake - Lake, ID
Henryetta Municipal - Henryetta, OK
Hensley Memorial - Fulton, MO
Hereford Municipal - Hereford, TX
Herendeen Airport - Herendeen, AK
Herington Regional - Herington, KS
Herlong - Herlong, CA
Herlong Recreational Airport - Jacksonville, FL
Herman Municipal - Herman, MN
Hermann Municipal - Hermann, MO
Hernando County Airport - Brooksville, FL
Hernando Village Airpark Inc - Hernando, MS
Herreid Municipal - Herreid, SD
Herron - New Cumberland, WV
Hesler-Noble Field - Laurel, MS
Hesperia - Hesperia, CA
Hester Memorial - Calhoun Falls, SC
Hettinger Municipal - Hettinger, ND
Hi Desert - Joshua Tree, CA
Hiatt - Thomasville, NC
Hickam Air Force Base - Honolulu, HI
Hickory Airport - Hickory, NC
Hicks - Ft Worth, TX
Hidden Falls Airport - Hidden Falls, AK
Hidden Hills - Pahrump, NV
Hidden Lake Airport - New Port Richey, FL
Higgins-Lipscomb Co - Higgins, TX
Higginsville Industrial Municipal Airport - Higginsville, MO
Highland Co - Hillsboro, OH
Highland-Winet Airport - Highland, IL
Highmore Municipal - Highmore, SD
Hill Air Force Base - Ogden, UT
Hill City Airport - Hill City, KS
Hill City-Quadna Mtn - Hill City, MN
Hillcrest - Goldendale, WA
Hillenbrand Airport - Batesville, IN
Hilliard - Hilliard, FL
Hillman - Hillman, MI
Hillsboro Municipal - Hillsboro, IL
Hillsboro Municipal - Hillsboro, ND
Hillsboro Municipal - Hillsboro, TX
Hillsdale Municipal - Hillsdale, MI
Hillside - Stilwell, KS
Hilo International Airport - Hilo, HI
Hilton Head Airport - Hilton Head, SC
Hiltons Har H Airport - Boulder, CO
Hinckley - Hinckley, IL
Hinde Airport - Huron, OH
Hinkles Ferry - Brazoria, TX
Hinsdale - Hinsdale, MT
Hinshaw - Liberty, NC
Hinton Municipal - Hinton, OK
Hinton-Alderson - Pence Springs, WV
Hoard Memorial - Leoti, KS
Hobart Airport - Hobart, OK
Hobart Bay Airport - Hobart Bay, AK
Hobart-Sky Ranch - Hobart, IN
Hobby - Creswell, OR
Hoby Wolf Airport - Eldersburg, MD
Hogatza Airport - Hogatza, AK
Hogeland - Hogeland, MT
Hogg Co - Hebbronville, TX
Holbrook Municipal - Holbrook, AZ
Holdenville Municipal - Holdenville, OK
Holikachu Airport - Holikachu, AK
Hollandale Municipal - Hollandale, MS
Hollands International - Newfane, NY
Holley Mountain - Clinton, AR
Hollis Municipal - Hollis, OK
Hollis Sea Plane Base - Hollis, AK
Hollister - Wilmington, OH
Hollister Airport - Hollister, CA
Hollister Municipal - Hollister, CA
Holloman Air Force Base - Alamogordo, NM
Hollow Regional - Albany, KY
Hollow Top - Martin, ID
Holly Grove Municipal - Holly Grove, AR
Holly Hill - Holly Hill, SC
Holly Ridge/Topsail I - Holly Ridge, NC
Holmes Co - Millersburg, OH
Holtville Airport - Holtville, CA
Holy Cross Airport - Holy Cross, AK
Holyoke Municipal - Holyoke, CO
Home Acres Sky Ranch - Lake City, MI
Homedale Municipal - Homedale, ID
Homer Airport - Homer, AK
Homer Municipal - Homer, LA
Homerville - Homerville, GA
Homeshore Airport - Homeshore, AK
Homestead Air Force Base - Homestead, FL
Homestead Farms - Pond Creek, OK
Homestead Gen Aviation - Homestead, FL
Hominy Municipal - Hominy, OK
Honeoye Falls - Honeoye Falls, NY
Honolulu International Airport - Honolulu, HI
Hood River - Hood River, OR
Hook Field - Middletown, OH
Hooker Municipal - Hooker, OK
Hooks Memorial - Rayville, LA
Hoonah Airport - Hoonah, AK
Hoopa - Hoopa, CA
Hooper Bay Airport - Hooper Bay, AK
Hope - Hope, AK
Hope Municipal - Hope, AR
Hopedale Industrial Park - Hopedale, MA
Hopewell - Canandaigua, NY
Hopkins - Nucla, CO
Hopkins-Fordyce Municipal - Fordyce, AR
Hopkinsville-Christian Co - Hopkinsville, KY
Horace Williams Airport - Chapel Hill, NC
Horizon - San Antonio, TX
Horlick Airport - Racine, WI
Hornell Municipal - Hornell, NY
Hornersville Memorial - Hornersville, MO
Horseshoe Bay - Marble Falls, TX
Horseshoe Bend - Horseshoe Bend, AR
Horseshoe Bend - Weatherford, TX
Hoskins - Olympia, WA
Hot Springs - Hot Springs, MT
Hot Springs Airport - Thermopolis, WY
Hot Springs Municipal - Hot Springs, SD
Hot Springs Sea Plane Base - Bell Island, AK
Houghton County Airport - Hancock, MI
Houghton Lake Heights - Houghton Heights, MI
Houlton International Airport - Houlton, ME
Houston Co - Caledonia, MN
Houston Co - Crockett, TX
Houston Co - Mc Kinnon, TN
Houston Memorial - Houston, MO
Houston Municipal - Houston, MS
Houston Southwest Airport - Houston, TX
Hoven Municipal - Hoven, SD
Howard Co - Nashville, AR
Howard County Airport - Big Spring, TX
Howard Municipal - Howard, SD
Howe - Howe, ID
Howell-New Lenox - New Lenox, IL
Howes Airport - Huron, SD
Hoxie-Sheridan Co - Hoxie, KS
Huggins Memorial - Timmonsville, SC
Hughes Airport - Culver City, CA
Hughes Municipal Airport - Hughes, AK
Hugo Airport - Hugo, OK
Hugoton Municipal - Hugoton, KS
Hulman Field - Terre Haute, IN
Humboldt Airport - Humboldt, IA
Humboldt Municipal - Humboldt, TN
Humboldt Municipal Airport - Humboldt, NE
Hummel - Saluda, VA
Humphreys Co - Waverly, TN
Hunt - Portland, TX
Hunt Field - Lander, WY
Hunter Air Force Base - Savannah, GA
Hunter Army Air Field - Jolon, CA
Huntingburg Municipal Airport - Huntingburg, IN
Huntington County Airport - Chesapeake, OH
Huntington Municipal - Huntington, IN
Huntington Municipal - Huntington, UT
Huntsville Airport - Huntsville, TX
Huntsville International Airport - Huntsville, AL
Huntsville-Madison Co Regional - Huntsville, AR
Hurdle - Mebane, NC
Hurlburt - Mary Esther, FL
Huron Co Memorial - Bad Axe, MI
Hurricane - Hurricane, UT
Huslia Airport - Huslia, AK
Hutchinson Airport - Hutchinson, KS
Hutchinson Mun-Butler - Hutchinson, MN
Hyampom - Hyampom, CA
Hyatt Regency Heliport - Cambridge, MA
Hyatt Regency Heliport - Dearborn, MI
Hydaburg Sea Plane Base - Hydaburg, AK
Hyde Co - Engelhard, NC
Hyder Sea Plane Base - Hyder, AK
Hysham - Hysham, MT
Icy Bay Airport - Icy Bay, AK
Ida Grove Municipal Airport - Ida Grove, IA
Idabel - Idabel, OK
Idaho City Usfs - Idaho City, ID
Idaho Co - Grangeville, ID
Igiugig Airport - Igiugig, AK
Igor I. Sikorsky Memorial Airport - Bridgeport, CT
Iliamna Airport - Iliamna, AK
Illinois Valley - Cave Junction, OR
Illinois Valley Regional Airport - Peru, IL
Immokalee Airport - Immokalee, FL
Imperial Airport - Imperial, NE
Imperial County Airport - Imperial, CA
Independence - Independence, CA
Independence Airport - Independence, KS
Independence Memorial Airport - Independence, MO
Independence Municipal - Independence, IA
Independence State - Independence, OR
Indian Creek Ranch - Deckerville, MI
Indian Creek Usfs - Indian Creek, ID
Indian Mountain Air Force Station - Utopia Creek, AK
Indiana Airport - Indiana, PA
Indianapolis Brookside Airport - Indianapolis, IN
Indianapolis Executive Airport - Indianapolis, IN
Indianapolis International Airport - Indianapolis, IN
Indianapolis Metropolitan Airport - Indianapolis, IN
Indianola Municipal - Indianola, MS
Indiantown - Indiantown, FL
Industrial - Courtland, AL
Industrial Airpark - Hobbs, NM
Industrial Airport - Ottumwa, IA
Industrial Airport - Roswell, NM
Industrial Airport - Tacoma, WA
Ingalls Field - Hot Springs, VA
Ingalls Municipal - Ingalls, KS
Ingersoll - Canton, IL
Inter Co - Irwin, PA
Intercontinental Airport - Louisville, KY
International Peace Garden - Dunseith, ND
Inverness - Inverness, FL
Ione Municipal - Ione, WA
Ionia Co - Ionia, MI
Iosco County Airport - East Tawas, MI
Iowa City Airport - Iowa City, IA
Iowa County Airport - Mineral Point, WI
Iowa Falls Airport - Iowa Falls, IA
Iraan Municipal Airport - Iraan, TX
Iron Co - Crystal Falls, MI
Ironhead - Sanger, TX
Isabel Municipal - Isabel, SD
Isabel Pass Airport - Isabel Pass, AK
Isbell - Ft Payne, AL
Island Heliport - Garden City, NY
Islesboro - Islesboro, ME
Iuka - Iuka, MS
Ivanof Bay Sea Plane Base - Ivanof Bay, AK
Iverson - Mc Gregor, MN
Ivishak Airport - Ivishak, AK
J-Z - Almira, WA
J. T. Robidoux Airport - Valle, AZ
Jaars-Townsend - Waxhaw, NC
Jablonski Airport - Nunica, MI
Jack Edwards Airport - Gulf Shores, AL
Jackass - Amargosa Valley, NV
Jackpot Airport - Jackpot, NV
Jacksboro Municipal - Jacksboro, TX
Jackson - Jackson, LA
Jackson Airport - Jackson, MN
Jackson Co - Edna, TX
Jackson Co - Gainesboro, TN
Jackson Co - Jefferson, GA
Jackson Co - Ravenswood, WV
Jackson Co - Sylva, NC
Jackson County Airport - Pascagoula, MS
Jackson Hole Airport - Jackson, WY
Jackson International Airport - Jackson, MS
Jackson Municipal - Jackson, AL
Jacksonville Airport - Jacksonville, TX
Jacksonville Executive at Craig Airport - Jacksonville, FL
Jacksonville International Airport - Jacksonville, FL
Jacksonville Municipal Airport - Jacksonville, IL
Jacksonville Naval Air Station - Jacksonville, FL
Jacqueline Cochran Regional Airport - Thermal, CA
Jacumba - Jacumba, CA
Jaffrey Municipal Airport - Jaffrey, NH
Jakes Bar - Mc Carthy, AK
Jakolof Bay - Jakolof Bay, AK
James M. Cox Dayton International Airport - Dayton, OH
Jamestown Airport - Jamestown, ND
Jamestown Airport - Jamestown, NY
Jamestown Municipal - Jamestown, TN
Jana - Edgerton, WI
Jean - Jean, NV
Jefferson City Memorial Airport - Jefferson City, MO
Jefferson Co - Steubenville, OH
Jefferson County Airport - Beaumont, TX
Jefferson County Airport - Dubois, PA
Jefferson Municipal Airport - Jefferson, IA
Jefferson Proving Ground - Madison, IN
Jekyll Island - Jekyll Island, GA
Jena - Jena, LA
Jenkins - Wyoming, DE
Jennings - Jennings, LA
Jerome Co - Jerome, ID
Jerry Tyler Memorial Airport - Niles, MI
Jersey Shore - Jersey Shore, PA
Jesup-Wayne County Airport - Jesup, GA
Jewett Mesa - Apache Creek, NM
Jicarilla Apache Nation - Dulce, NM
John C. Tune Airport - Nashville, TN
John Day Airport - John Day, OR
John F. Kennedy International Airport - New York, NY
John Wayne Airport - Santa Ana, CA
Johnson - Archdale, NC
Johnson - Port Mansfield, TX
Johnson Airport - Johnson, TX
Johnson City Stolport Airport - Johnson City, TN
Johnson Co - Mountain City, TN
Johnson Creek - Yellow Pine, ID
Johnson Executive Airport - Kansas City, MO
Johnson Field - Smiths Creek, MI
Johnson Industrial Airport - Kansas City, MO
Johnson Memorial - New Martinsville, WV
Johnson-Bell Field - Missoula, MT
Johnston County Airport - Smithfield, NC
Joliet Municipal Airport - Joliet, IL
Jones - Benkelman, NE
Jones - Bonham, TX
Jones - Linden, AL
Jones Lebanon - Lebanon, MO
Jones Memorial - Bristow, OK
Jonesboro Airport - Jonesboro, AR
Jonesboro Municipal - Jonesboro, LA
Jonesville - Jonesville, LA
Joplin Airport - Joplin, MO
Jordan Airport - Jordan, MT
Joseph State - Joseph, OR
Joyce - Winnfield, LA
Judge Lewis-Mt Ayr Municipal - Mt Ayr, IA
Julesburg Municipal - Julesburg, CO
Junction - Junction, UT
Juneau International Airport - Juneau, AK
Kadoka Municipal - Kadoka, SD
Kagvik Creek Airport - Kagvik Creek, AK
Kahoka Municipal - Kahoka, MO
Kahului Airport - Kahului, HI
Kake Sea Plane Base - Kake, AK
Kakhonak Airport - Kakhonak, AK
Kalaeloa Airport - Kapolei, HI
Kalakaket Air Force Station - Kalakaket, AK
Kalaupapa Airport - Kalaupapa, HI
Kalaupapa Apt. - Molokai  Hawaii, HI
Kalispell City - Kalispell, MT
Kalkaska City - Kalkaska, MI
Kalskag Municipal Airport - Kalskag, AK
Kaltag Airport - Kaltag, AK
Kamiah Municipal - Kamiah, ID
Kamp - Durhamville, NY
Kampel - Wellsville, PA
Kamuela Airport - Kamuela, HI
Kanab Airport - Kanab, UT
Kaneohe Bay Mcaf - Mokapu, HI
Kankakee - Kankakee, IL
Kansas City Downtown Municipal Airport - Kansas City, MO
Kansas City International Airport - Kansas City, MO
Kantishna - Kantishna, AK
Kaolin - Sandersville, GA
Kapalua Airport - Kapalua, HI
Kapaun-Wilson - Graceville, MN
Karlstad Municipal - Karlstad, MN
Karluk Airport - Karluk, AK
Karluk Lake Sea Plane Base - Karluk Lake, AK
Karnes Co - Kenedy, TX
Kasaan Sea Plane Base - Kasaan, AK
Kasigluk Airport - Kasigluk, AK
Kasilof - Kasilof, AK
Katama - Edgartown, MA
Kearney Airport - Kearney, NE
Kearny - Kearny, AZ
Keck'S - Julian, NC
Kee - Pineville, WV
Keesler Air Force Base - Biloxi, MS
Kegelman Air Field - Cherokee, OK
Kellam - Weirwood, VA
Keller Brothers Airport - Lebanon, PA
Kelleys Island Land Field - Kelleys Island, OH
Kelly - Oak Grove, LA
Kelly Bar Airport - Kelly Bar, AK
Kelly Field Annex - San Antonio, TX
Kelp Bay Airport - Kelp Bay, AK
Kemmerer Airport - Kemmerer, WY
Kenai Airport - Kenai, AK
Kendallville Municipal - Kendallville, IN
Kenmare Municipal - Kenmare, ND
Kenmore Air Harbor Airport - Kenmore Air Harbor, WA
Kennett Municipal Airport - Kennett, MO
Kenosha Municipal Airport - Kenosha, WI
Kent Co - Jayton, TX
Kent State University Airport - Kent, OH
Kentland Airport - Kentland, IN
Kentmorr - Stevensville, MD
Kentucky Dam State Park - Gilbertsville, KY
Keokuk Airport - Keokuk, IA
Keosauqua Municipal - Keosauqua, IA
Kern County Airport - Inyokern, CA
Kern County Airport - Mojave, CA
Kern County Airport - Shafter, CA
Kern County Airport - Tehachapi, CA
Kern Valley - Kernville, CA
Kerrville Airport - Kerrville, TX
Kestrel - San Antonio, TX
Ketchikan International Airport - Ketchikan, AK
Kewanee Municipal - Kewanee, IL
Key Field - Meridian, MS
Key West International Airport - Key West, FL
Keystone - Keystone Heights, FL
Keystone - Unionville, PA
Keystone - Westport, OK
Kibs - Bristol, LA
Kickapoo Airport - Wichita Falls, TX
Kidwell - Cal Nev Ari, NV
Killeen Municipal Airport - Killeen, TX
Kimball Municipal - Kimball, SD
Kimball Municipal/Arraj - Kimball, NE
Kimble County Airport - Junction, TX
Kincheloe Air Force Base - Sault Ste. Marie, MI
King Cove Airport - King Cove, AK
King Of Prussia Airport - King of Prussia, PA
King Salmon Airport - King Salmon, AK
Kingdon - Lodi, CA
Kingfisher - Kingfisher, OK
Kingman Airport - Kingman, AZ
Kingman Municipal - Kingman, KS
Kings Land O'Lakes - Land O'Lakes, WI
Kingsley Field - Klamath Falls, OR
Kingston-Ulster - Kingston, NY
Kinsley Municipal - Kinsley, KS
Kipnuk Sea Plane Base - Kipnuk, AK
Kirbyville - Kirbyville, TX
Kirk Air Base - Lancaster, SC
Kirksville Municipal Airport - Kirksville, MO
Kirkwood - Kirkwood, NY
Kirsch Municipal - Sturgis, MI
Kissimmee Gateway Airport - Kissimmee, FL
Kit Carson Co - Burlington, CO
Kittie Hill - Leander, TX
Kittyhawk - Allen, TX
Kitui Bay Sea Plane Base - Kitui Bay, AK
Kivalina Airport - Kivalina, AK
Kizer - Prescott, AR
Kizhuyak Airport - Kizhuyak, AK
Klagbay Airport - Klagbay, AK
Klawock Airport - Klawock, AK
Kleberg Co - Kingsville, TX
Kline Kill - Ghent, NY
Kneeland - Eureka, CA
Knox Airport - Quaker Street, NY
Knox Co - Mt Vernon, OH
Knox County Regional Airport - Rockland, ME
Knoxville Municipal - Knoxville, IA
Knoxville-Downtown I - Knoxville, TN
Kobelt - Wallkill, NY
Kobuk/Wien Airport - Kobuk, AK
Koch - Poseyville, IN
Kodiak Airport - Kodiak, AK
Kodiak FSS Airport - Kodiak, AK
Kodiak Municipal Airport - Kodiak, AK
Kokhanok - Kokhanok, AK
Kokomo Airport - Kokomo, IN
Koliganek - Koliganek, AK
Kona International Airport at Keahole - Kailua-Kona, HI
Kongiganak Airport - Kongiganak, AK
Koons - Salem, OH
Kooskia Municipal - Kooskia, ID
Kotlik Airport - Kotlik, AK
Kotlik/New - Kotlik, AK
Kotzebue Airport - Kotzebue, AK
Koyuk Airport - Koyuk, AK
Koyukuk Airport - Koyukuk, AK
Krassel Usfs - Mc Call, ID
Kroelinger - Vineland, NJ
Kugururok River Airport - Kugururok River, AK
Kulik Lake Airport - Kulik Lake, AK
Kuparuk Airport - Kuparuk, AK
Kupper Airport - Manville, NJ
Kure - Kure I, HI
Kutztown - Kutztown, PA
Kwethluk Airport - Kwethluk, AK
Kwigillingok Airport - Kwigillingok, AK
Kwinhagak Airport - Quinhagak, AK
La Belle Municipal - La Belle, FL
La Crosse Regional Airport - La Crosse, WI
La Grande Airport - La Grande, OR
La Junta Municipal - La Junta, CO
La Moure Rott Municipal - La Moure, ND
La Plata Airport - Durango, CO
La Porte Municipal Airport - La Porte, TX
LA/Ontario International Airport - Ontario, CA
Labouchere Bay Airport - Labouchere Bay, AK
Lackey Aviation - Wharton, TX
Laconia Municipal Airport - Laconia, NH
Lafayette Municipal - Lafayette, TN
Lafayette Regional Airport - Lafayette, LA
Lago Vista-Allen - Lago Vista, TX
LaGuardia Airport - New York, NY
Laguna Army Air Field - Yuma, AZ
Lahm Municipal Airport - Mansfield, OH
Laidlaw Corrals - Kimama, ID
Lake Andes Municipal - Lake Andes, SD
Lake Anna - Bumpass, VA
Lake Barkley State Park - Cadiz, KY
Lake Billy Chinook State - Culver, OR
Lake Charles Municipal Airport - Lake Charles, LA
Lake City Gateway Airport - Lake City, FL
Lake City Mun Evans - Lake City, SC
Lake County Airport - Lakeview, OR
Lake County Regional Airport - Clarksville, VA
Lake Elmo - St Paul, MN
Lake Geneva Municipal Airport - Lake Geneva, WI
Lake Havasu City Municipal Airport - Lake Havasu City, AZ
Lake Hood Seaplane Base  - Anchorage, AK
Lake Hood Strip - Anchorage, AK
Lake In The Hills - Lake In The Hills, IL
Lake Isabella - Village Of Lake Isabella, MI
Lake Lawn - Delavan, WI
Lake Louise - Lake Louise, AK
Lake Mills Municipal - Lake Mills, IA
Lake Minchumina Airport - Lake Minchumina, AK
Lake Murray State Park - Overbrook, OK
Lake Norman Airport - Mooresville, NC
Lake Placid Airport - Lake Placid, NY
Lake Preston Municipal - Lake Preston, SD
Lake Texoma State Park - Kingston, OK
Lake Union Sea Plane Base - Seattle, WA
Lake Village - Lake Village, IN
Lake Village Municipal - Lake Village, AR
Lake Wales Municipal - Lake Wales, FL
Lake Wenatchee State - Leavenworth, WA
Lake Whitney State Park - Whitney, TX
Lakefield - Celina, OH
Lakefront Airport - New Orleans, LA
