A R S Sport Strip - Belle Plaine, MN
Burlington-Alamance Regional - Burlington, NC
Burnet Mun-Craddock - Burnet, TX
Burnett Co - Siren, WI
Burns Municipal Airport - Burns, OR
Bush Field - Augusta, GA
Butler Airport - Butler, MO
Butler County Regional Airport - Hamilton, OH
Butler Farm Show - Butler, PA
Butler Municipal - Butler, GA
Butler-Choctaw Co - Butler, AL
Butte Airport - Butte, MT
Butte Municipal - Palmer, AK
Butte Valley - Dorris, CA
Butter Valley Golf Port - Bally, PA
Butts Army Air Field - Colorado Springs, CO
Buzzards Point S Airport - Washington, DC
Buzzards Roost - Inola, OK
Byerley - Lake Providence, LA
Byron - Byron, CA
Cabaniss Field - Corpus Christi, TX
Cabin Creek Airport - Cabin Creek, AK
Cabin Creek Usfs - Big Creek Ranger Station, ID
Cable Airport - Upland, CA
Cable Heliport - Upland, CA
Cable Union - Cable, WI
Cabool Memorial - Cabool, MO
Cache Airport - Logan, UT
Cackleberry - Dexter, MI
Caddo Mills Municipal - Caddo Mills, TX
Cagney - Clio, MI
Cain - Stanwood, MI
Cairns Army Air Field - Ozark, AL
Cairo Airport - Cairo, IL
Cairo-Grady Co - Cairo, GA
Calaveras Co-Rasmussen - San Andreas, CA
Caldwell Industrial - Caldwell, ID
Caldwell Municipal - Caldwell, KS
Caldwell Municipal - Caldwell, TX
Calexico International Airport - Calexico, CA
Calhan - Calhan, CO
Calhoun Co - Blountstown, FL
Calhoun Co - Pittsboro, MS
Calhoun Co - Port Lavaca, TX
Calico Rock-Izard Co - Calico Rock, AR
California City Municipal - California City, CA
California Pines - Alturas, CA
Calipatria Airport - Calipatria, CA
Calkins - Wayland, MI
Callaway Gardens Airport - Callaway Gardens, GA
Calloway Airport - La Grange, GA
Calloway County Airport - Murray, KY
Camano I - Stanwood, WA
Camarillo Airport - Camarillo, CA
Camas Co - Fairfield, ID
Cambria County Airport - Johnstown, PA
Cambridge Airport - Cambridge, MD
Cambridge Municipal - Cambridge, MN
Cambridge Municipal - Cambridge, NE
Cambridge Municipal - Cambridge, OH
Camden Co - Berlin, NJ
Camden Municipal - Camden, AL
Camdenton Memorial - Camdenton, MO
Cameron - Angleton, TX
Cameron - Cameron Park, CA
Cameron Memorial - Cameron, MO
Cameron Municipal - Cameron, TX
Camilla-Mitchell Co - Camilla, GA
Camillus - Camillus, NY
Camp A P Hill Airport - Bowling Green, VA
Camp Blanding Aaf - Camp Blanding, FL
Camp Guernsey - Guernsey, WY
Camp Lake - Camp Lake, WI
Camp Maybry Army Heliport - Austin, TX
Camp McCoy Army Air Field - Sparta, WI
Camp Pendleton MCAS Airport - Oceanside, CA
Camp Vernon - Westfield, NY
Campbell - Copperhill, TN
Campbell - Grayslake, IL
Campbell - Madison, MS
Campbell Airport - Anchorage, AK
Campbell Army Airfield - Hopkinsville, KY
Campbell Co - Jacksboro, TN
Campbell County Airport - Gillette, WY
Campbell Municipal - Campbell, MO
Campbell Municipal - Indian River, MI
Campo Airport - Campo, CA
Canadian Lakes - Mecosta, MI
Canandaigua - Canandaigua, NY
Candle Airport - Candle, AK
Candlelight Farms - New Milford, CT
Cando Municipal - Cando, ND
Cannon Air Force Base - Clovis, NM
Canon City Airport - Canon City, CO
Canton Airport - Canton, SD
Canton-Hackney - Canton, TX
Canton-Plymouth-Mettetal - Plymouth, MI
Cantrell - Conway, AR
Cantwell - Cantwell, AK
Canyon Ferry - Townsend, MT
Canyonlands Field - Moab, UT
Cape Blanco State - Denmark, OR
